ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	PER	HEB	Ins	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi
MMI-0001	24시간	24 Hours	24 horas	24 heures	24 horas	24小时制	24時間	24-hour	24-hour format	24-Stunden Format	24 heures	24 ore	Formato 24 horas	24 horas		24-uur formaat	24-timer-format	24 timmar format	24-timer format	Format 24-godzinny	24hod. formát	24-hod. formát	24 часа						24 tunnin näyttö	24 órás formátum	24 saat formatı	ساعة 24	۲۴ ساعته	24 שעות	24 Jam	24-घंटे									
MMI-0002	2회 눌러 전체 잠금 해제	2 Press Unlock	Desbloqueo con 2 pulsos	Déverrouillage avec 2 pressions	Destranca com duas pressões	按两下解锁	2回押してすべてロック解除	Two Press Unlock	Two Press Unlock	2-Stufen Entriegelung	Appuyer 2 fois pour déverrouiller	Sblocco doppia pressione	Desbloquear todo	Desbloqueio dupla pressão		Druk 2 keer voor ontgrendelen	Oplås med to tryk	2-tryck-upplåsning	To-trykk åpning	Odryglowanie 2 wciśnięciami	Dvoudotykové odemykání	2-stupňové odomykanie	Разблокировка двойным нажатием						Avaus kahdella painalluksella	Kétfokozatú kireteszelés	İki kademeli merkezi kilit	اضغط مرتين لإلغاء القفل	بازگشایی قفل با دو فشار	שחרור בלחיצה כפולה	Buka Kunci 2 Kali Tekan	दो बार दबाने पर अनलॉक									
MMI-0003	3D 건물	Display Buildings	Mostrar edificios	Afficher les bâtiments	Construções em 3D	<N/A>		3D buildings	3D buildings	<N/A>	Bâtiments 3D	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	مبانٍ ثلاثية الأبعاد	<N/A>	<N/A>	<N/A>	<N/A>									
MMI-0004	3D 교차로 확대도	Virtual 3D Intersection Mode	Visualización virtual del mapa de intersección en 3D	Affichage de la carte d’intersection 3D virtuelle	Exibição virtual 3D do mapa de intersecção	<N/A>		Virtual 3D Intersection Mode	Virtual 3D Intersection Mode	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>									
MMI-0005	3D 지도	3D Bird View	3D - Vista aérea	3D vue aérienne	3D - Visão aérea	3D 鸟瞰图	3D地図	3D bird view	3D bird view	<N/A>	3D vue aérienne	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	3D الخريطة	<N/A>	<N/A>	3D Bird View	<N/A>									
MMI-0006	3D 지도	3D Map	3D Mapa	3D Carte	Mapa 3D	3D 鸟瞰图	3D地図	3D bird view	3D map	<N/A>	Carte 3D	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	الخريطة 3D	نقشه ۳بعدی	<N/A>	3D Bird View	<N/A>									
MMI-0007	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM		AM	AM	AM	AM	AM	AM	AM	AM						AM	AM	AM	AM	AM	AM	AM	AM									
MMI-0008	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto		Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto						Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto									
MMI-0009	Android Auto	Enable Android Auto	Habilitar Android Auto	Activer Android Auto	Habilitar Android Auto	启用 Android Auto	Android Auto	Enable Android Auto	Enable Android Auto	Android Auto aktivieren	Activer Android Auto	Attiva Android Auto	Activar Android Auto	Ativar o Android Auto		Android Auto inschakelen	Aktiver Android Auto	Aktivera Android Auto	Aktiver Android Auto	Aktywuj Android Auto	Aktivace aplikace Android Auto	Aktivovať Android Auto	Включить Android Auto						Ota Android Auto käyttöön	Android Auto aktiválása	Android Auto'yu etkinleştir	تفعيل Android Auto	فعال کردن Android Auto	אפשר את Android Auto	Aktifkan Android Auto	Android Auto सक्षम करें									
MMI-0010	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay		Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay						Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay									
MMI-0011	Apple CarPlay	Enable Apple CarPlay	Habilitar Apple CarPlay	Activer Apple CarPlay	Habilitar Apple CarPlay	启用 Apple CarPlay	Apple CarPlay	Enable Apple CarPlay	Enable Apple CarPlay	Apple CarPlay aktivieren	Activer Apple CarPlay	Attiva Apple CarPlay	Activar Apple CarPlay	Ativar o Apple CarPlay		Apple CarPlay inschakelen	Aktiver Apple CarPlay	Aktivera Apple CarPlay	Aktiver Apple CarPlay	Aktywuj Apple CarPlay	Aktivace aplikace Apple CarPlay	Aktivovať Apple CarPlay	Включить Apple CarPlay						Ota Apple CarPlay käyttöön	Apple Carplay aktiválása	Apple CarPlay'i etkinleştir	تفعيل Apple CarPlay	فعال کردن Apple CarPlay	אפשר את Apple CarPlay	Aktifkan Apple CarPlay	Apple CarPlay सक्षम करें									
MMI-0012	AWD	AWD	AWD	AWD	AWD	AWD	AWD	All-wheel drive	All wheel drive	Allradantrieb	Transmission intégrale	AWD	Tracción total permanente	Tração às quatro rodas		AWD	Firhjulstræk	AWD	Firehjulstrekk	Napęd na wszystkie koła	Pohon všech kol	Pohon všetkých kolies	Полный привод						Neliveto	Összkerékhajtás	Dört çeker sistem	الدفع الرباعي	AWD	הנעה בארבעת הגלגלים	AWD	AWD									
MMI-0013	Bass Boost	Bass Boost	Resaltar bajos	Boost Basse	Ressaltar os baixos	低音增强	Bass Boost	Bass Boost	Bass Boost	Bass Boost	Amplifier les fréquences basses	Amplifica bassi	Amplificación de graves	Aumento de graves		Lage-tonenversterker	Basforstærkning	Basförstärkning	Bass Boost	Wzmocnienie tonów niskich	Zesílení basů	Zosilnenie basov	Усиление низких частот						Basson tehostus	Mélyhangkiemelés	Bas Güçlendirme	تعزيز الجهير	تقویت صدای باس	Bass Boost	Bass Boost	बास बूस्ट									
MMI-0014	CARPAY	CARPAY	CARPAY	CARPAY	CARPAY	CARPAY		CARPAY	CARPAY	CARPAY	CARPAY	CARPAY	CARPAY	CARPAY		CARPAY	CARPAY	CARPAY	CARPAY	CARPAY	CARPAY	CARPAY	CARPAY						CARPAY	CARPAY	CARPAY	CARPAY	CARPAY	CARPAY	CARPAY	CARPAY									
MMI-0015	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology		Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology						Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Centerpoint® Surround Technology	Teknologi Centerpoint® Surround	Centerpoint® Surround Technology									
MMI-0016	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT		COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	COMFORT						COMFORT	COMFORT	COMFORT	COMFORT	COMFORT	נוחות	COMFORT	COMFORT									
MMI-0017	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM		CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM						CUSTOM	CUSTOM	CUSTOM	CUSTOM	CUSTOM	נהוג	CUSTOM	CUSTOM									
MMI-0018	DMB	DMB	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)		N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)						N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)									
MMI-0019	DMB 인증 정보	DMB Certification Info	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)		N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)						N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)	N/A(KO Only)									
MMI-0020	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation		Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation						Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation	Dynamic Speed Compensation									
MMI-0021	ECO	ECO	ECO	ECO	ECO	ECO	ECO	ECO	ECO	ECO	ECO	ECO	ECO	ECO		ECO	ECO	ECO	ECO	ECO	ECO	ECO	ECO						ECO	ECO	ECO	ECO	ECO	ECO (חסכוני)	ECO	ECO									
MMI-0022	ECO 드라이빙	ECO Driving	Conducción ECO	Conduite ECO	Direção ECO	ECO 驾驶	エコドライブ	ECO driving	ECO driving	ECO-Fahrbetrieb	Conduite ECO	Guida ECO	Conducción eco	Condução ECO		Eco rijden	Eco-kørsel	Eko körning	Eco-kørsel	Tryb ECO	Ekologická jízda	Režim jazdy Eko	Режим "ECO"						Eco-ajokäyttö	Ekologická jízda	ECO sürüş	القيادة ECO	رانندگی ECO	נהיגה חשכונית	ECO Driving	ECO ड्राइविंग									
