ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi	TWN_CHI	Indonesian	PER	HEB
MMI-0001	24시간	24 Hours	24 horas	24 heures	24 horas	24小时制	24時間	24-hour	24-hour format	24-Stunden Format	24 heures	24 ore	Formato 24 horas	24 horas		24-uur formaat	24-timer-format	24 timmar format	24-timer format	Format 24-godzinny	24hod. formát	24-hod. formát	24 часа						24 tunnin näyttö	24 órás formátum	24 saat formatı	ساعة 24												24 Jam	۲۴ ساعته	24 שעות
MMI-0002	2회 눌러 전체 잠금 해제	2 Press Unlock	Desbloqueo con 2 pulsos	Déverrouillage avec 2 pressions	Destranca com duas pressões	按两下解锁	2回押してすべて解錠	Two Press Unlock	Two Press Unlock	2-Stufen Entriegelung	Appuyer 2 fois pour déverrouiller	Sblocco doppia pressione	Desbloquear todo	Desbloqueio dupla pressão		Druk 2 keer voor ontgrendelen	Oplås med to tryk	2-tryck-upplåsning	To-trykk åpning	Odryglowanie 2 wciśnięciami	Dvoudotykové odemykání	2-stupňové odomykanie	Разблокировка двойным нажатием						Avaus kahdella painalluksella	Kétfokozatú kireteszelés	İki kademeli merkezi kilit	اضغط مرتين لإلغاء القفل												Buka Kunci 2 Kali Tekan	بازگشایی قفل با دو فشار	שחרור בלחיצה כפולה
MMI-0003	3D 건물	Display Buildings	Mostrar edificios	Afficher les bâtiments	Construções em 3D	<N/A>	建物3D	3D buildings	3D buildings	<N/A>	Bâtiments 3D	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	مبانٍ ثلاثية الأبعاد												N/A	<N/A>	<N/A>
MMI-0004	3D 교차로 확대도	Virtual 3D Intersection Mode	Visualización virtual del mapa de intersección en 3D	Affichage de la carte d’intersection 3D virtuelle	Exibição virtual 3D do mapa de intersecção	<N/A>	交差点3D拡大ビュー	Virtual 3D Intersection Mode	Virtual 3D Intersection Mode	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	<N/A>												N/A	<N/A>	<N/A>
MMI-0005	3D 지도	3D Bird View	3D - Vista aérea	3D vue aérienne	3D - Visão aérea	3D 鸟瞰图	3D地図	3D bird view	3D bird view	<N/A>	3D vue aérienne	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	3D الخريطة												3D Bird View	<N/A>	<N/A>
MMI-0006	3D 지도	3D Map	3D Mapa	3D Carte	Mapa 3D	3D 鸟瞰图	3D地図	3D bird view	3D map	<N/A>	Carte 3D	<N/A>	<N/A>	<N/A>		<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>	<N/A>						<N/A>	<N/A>	<N/A>	الخريطة 3D												3D Bird View	نقشه ۳بعدی	<N/A>
MMI-0007	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM	AM		AM	AM	AM	AM	AM	AM	AM	AM						AM	AM	AM	AM												AM	AM	AM
MMI-0008	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto		Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto	Android Auto						Android Auto	Android Auto	Android Auto	Android Auto												Android Auto	Android Auto	Android Auto
MMI-0009	Android Auto	Enable Android Auto	Habilitar Android Auto	Activer Android Auto	Habilitar Android Auto	启用 Android Auto	Android Auto	Enable Android Auto	Enable Android Auto	Android Auto aktivieren	Activer Android Auto	Attiva Android Auto	Activar Android Auto	Ativar o Android Auto		Android Auto inschakelen	Aktiver Android Auto	Aktivera Android Auto	Aktiver Android Auto	Aktywuj Android Auto	Aktivace aplikace Android Auto	Aktivovať Android Auto	Включить Android Auto						Ota Android Auto käyttöön	Android Auto aktiválása	Android Auto'yu etkinleştir	تفعيل Android Auto												Android Auto	فعال کردن Android Auto	אפשר את Android Auto
MMI-0010	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay		Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay						Apple CarPlay	Apple CarPlay	Apple CarPlay	Apple CarPlay												Apple CarPlay	Apple CarPlay	Apple CarPlay
