ID	KOR	ENG_US	MSPA	CFRE	BPO	SC_CHI	JPN	ENG_AU	ENG_UK	GER	FRE	ITA	SPA	POR	ROM	DUT	DAN	SWE	NOR	POL	CZE	SLK	RUS	UKR	SLN	CRO	BUL	GRE	FIN	HUN	TUR	ARA	Hindi	Bengali	Marathi	Telugu	Tamil	Gujarati	Kannada	Odia	Malayalam	Punjabi	Chinese (Traditional, Taiwan)	Indonesian	Persian	Hebrew
MMI-0001	화면 끄기	Display Off	Apagar pant.	Désactiver affichage	Desligar tela	画面关闭	表示オフ	Display Off	Display Off	Bildschirm Aus	Éteindre l'écran	Disattiva display	Desactivar pantalla	Ecrã desligado	Afișaj oprit	Scherm uit	Skærm Fra	Display Av	Skjerm av	Ekran wył.	Vyp. displej	Displej vyp.	Диспл. выкл.	Дисплей вимк.	Zaslon izklop.	Zaslon ugašen	Дисплеят е изключен	Απενεργοπ. Οθόνης	Απενεργοπ. Οθόνης	Kijelző ki	Ekran Kapalı	إطفاء الشاشة	डिस्प्ले बंद	Display Off	Display Off	Display Off	Display Off	Display Off	Display Off	Display Off	Display Off	Display Off	Display Off	Layar Mati	نمایشگر خاموش	הצג כבוי
MMI-0002	설정	Setup	Setup	Setup	Setup	Setup	Setup	Setup	Settings	Einstellungen	Réglages	Impostazioni	Ajustes	Definições	Setări	Instellingen	Indstillinger	Inställningar	Innstillinger	Ustawienia	Nastavení	Nastavenia	Настройки	Налаштування	Nastavitve	Postavke	Настройки	Ρυθμίσεις	Ρυθμίσεις	Beállítások	Ayarlar	الإعدادات	सेटिंग्स	সেটিংস	सेटिंग्ज	సెట్టింగ్‌లు	அமைப்புகள்	સેટિંગ્સ	ಸೆಟ್ಟಿಂಗ್‌ಗಳು	ସେଟିଂସମୂହ	ക്രമീകരണം	ਸੈਟਿੰਗਾਂ	設定	Setelan	Settings	הגדרות
MMI-0003	버튼	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons	Buttons
MMI-0004	위젯	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget	Widget
MMI-0005	테마/화면구성	Screen Theme/Layout																																												
MMI-0006	웹 매뉴얼	Online Manual	Manual en línea	Manuel en ligne	Manual online	Web手册	ウェブ・マニュアル	Online manual	Online manual	Online-Handbuch	Manuel en ligne	Manuale online	Manual online	Manual Online	Online Manual	Online Manual	Online Manual	Online Manual	Håndbok på Internett	Online Manual	Online Manual	Online príručka	Online Manual	Online Manual	Online Manual	Online Manual	Online Manual	Online Manual	Online Manual	Online kézikönyv	Online Manual	Online Manual	ऑनलाइन मैनुअल	Online Manual	Online Manual	Online Manual	Online Manual	Online Manual	Online Manual	Online Manual	Online Manual	Online Manual	Online Manual	Online Manual	راهنمای آنلاین	מדריך מקוון
MMI-0007	운전자 1	Driver 1	Conductor 1	Conducteur 1	Condutor 1	驾驶员1	運転者１	Driver 1	Driver 1	Fahrer 1	Conducteur 1	Conducente 1	Conductor 1	Condutor 1	Șoferul 1	Bestuurder 1	Fører 1	Förare 1	Fører 1	Kierowca 1	Řidič 1	Vodič 1	Водитель 1	Водій 1	Voznik 1	Vozač 1	Водач 1	Οδηγός 1	Οδηγός 1	1. vezető	Sürücü 1	السائق 1	ड्राइवर 1	চালক 1	चालक 1	డ్రైవర్ 1	ஓட்டுனர் 1	ડ્રાઇવર 1	ಚಾಲಕ 1	ଡ୍ରାଇଭର 1	ഡ്രൈവർ 1	ਡ੍ਰਾਈਵਰ 1	駕駛 1	Pengemudi 1	Driver 1	נהג 1
MMI-0008	운전자 2	Driver 2	Conductor 2	Conducteur 2	Condutor 2	驾驶员2	運転者２	Driver 2	Driver 2	Fahrer 2	Conducteur 2	Conducente 2	Conductor 2	Condutor 2	Șoferul 2	Bestuurder 2	Fører 2	Förare 2	Fører 2	Kierowca 2	Řidič 2	Vodič 2	Водитель 2	Водій 2	Voznik 2	Vozač 2	Водач 2	Οδηγός 2	Οδηγός 2	2. vezető	Sürücü 2	السائق 2	ड्राइवर 2	চালক 2	चालक 2	డ్రైవర్ 2	ஓட்டுனர் 2	ડ્રાઇવર 2	ಚಾಲಕ 2	ଡ୍ରାଇଭର 2	ഡ്രൈവർ 2	ਡ੍ਰਾਈਵਰ 2	駕駛 2	Pengemudi 2	Driver 2	נהג 2
MMI-0009	동의함	Confirm	Confirmar	Confirmer	Confirmar	确认	Confirm	Confirm	Confirm	Bestätigen	Confirmer	Conferma	Confirmar	Confirmar	Confirm	Bevestigen	Bekræft	Bekräfta	Bekreft	Potwierdź	Potvrdit	Potvrdiť	Подтвердить	Підтвердити	Potrdi	Confirm	Confirm	Επιβεβαίωση	Επιβεβαίωση	Jóváhagyás	Onayla	تأكيد	पुष्टि करें	Confirm	Confirm	Confirm	Confirm	Confirm	Confirm	Confirm	Confirm	Confirm	Confirm	Konfirmasi	تایید	אשר
MMI-0010	확인	OK	OK	OK	OK	OK	OK	OK	Confirm	Bestätigen	Confirmer	Conferma	Confirmar	Confirmar	Confirm	Bevestigen	Bekræft	Bekräfta	Bekreft	Potwierdź	Potvrdit	Potvrdiť	Подтвердить	Підтвердити	Potrdi	Confirm	Confirm	Επιβεβαίωση	Επιβεβαίωση	Jóváhagyás	Onayla	تأكيد	पुष्टि करें	Confirm	Confirm	Confirm	Confirm	Confirm	Confirm	Confirm	Confirm	Confirm	Confirm	Konfirmasi	تایید	אשר
